,花旗,index,台新,index,國泰,index,富邦,index,玉山,index,中信,index,元大,index
0,0.4907237989060744,花旗,0.43584285133341183,台新,0.30133155907115144,申請,0.3592617255344456,富邦,0.4825252436287281,玉山,0.42731032908535305,中信,0.3458598423296148,申請
1,0.3207345090889375,客服,0.28303209553053876,申請,0.26560054416152873,國泰,0.3410503016594276,申請,0.2948765377731116,申請,0.2912578904584864,申請,0.28652823757850937,客服
2,0.2525784259075383,申請,0.28103891175919693,客服,0.2417798675551136,客服,0.23840409436387172,額度,0.24242814172651075,客服,0.2582354538985673,客服,0.250350429803445,額度
3,0.20446824954419768,額度,0.22722294993296774,收到,0.19771161583324562,額度,0.22350383846612976,核卡,0.23193846251719058,額度,0.24832872293059158,額度,0.250350429803445,收到
4,0.18362050645341674,卡片,0.21127747976223316,額度,0.1953295481726041,卡片,0.19701449464792178,信用卡,0.1864831859434698,核卡,0.22719436353224334,收到,0.18667748811933185,核卡
5,0.18201683390797205,收到,0.17739335564942219,核卡,0.18103714220875503,台新,0.19039215869336978,收到,0.18415214611917644,收到,0.19020923458513397,核卡,0.18523037580832927,元大
6,0.17800765254436032,回饋,0.16875622597360762,簡訊,0.17746404071779276,聯名,0.19039215869336978,客服,0.17366246690985626,卡片,0.17766070869236472,linepay,0.17510058963131128,簡訊
7,0.14513236536274424,核卡,0.15613272875510942,信用卡,0.17746404071779276,核卡,0.1887365747047318,卡片,0.1713314270855629,銀行,0.16643308026199222,信用卡,0.1678650280762984,卡片
8,0.14192502027185486,活動,0.15480393957421487,中信,0.1679357700752267,收到,0.13906905504559183,查詢,0.15501414831550928,世界,0.1637912853371987,台新,0.15339390496627267,信用卡
9,0.12107727718107392,消費,0.13952286399392755,回饋,0.16674473624490593,信用卡,0.13741347105695384,台新,0.15151758857906922,信用卡,0.15190320817562783,卡片,0.14905256803326497,通知
10,0.11386075072657283,台新,0.138194074813033,卡片,0.1453061272991323,銀行,0.13575788706831585,中信,0.1445244691061891,財力,0.1340710924332715,簡訊,0.14760545572226239,樂天
11,0.11305891445385048,信用卡,0.138194074813033,gogo,0.14411509346881157,消費,0.13079113510240184,簡訊,0.12237959077540206,簡訊,0.11623897669091521,玉山,0.13747566954524437,jcb
12,0.11305891445385048,中信,0.13022133972766572,通知,0.13815992431720778,中信,0.12913555111376385,生活,0.12121407086325538,聯名,0.11425763049732006,調額,0.1316872203012341,電話
13,0.10584238799934939,通知,0.11361147496648387,財力,0.12029441686239642,回饋,0.12582438313648786,財力,0.118883031038962,中信,0.11161583557252654,花旗,0.1273458833682264,台新
14,0.10504055172662705,簡訊,0.1102895020142475,richart,0.12029441686239642,koko,0.12416879914784985,聯名,0.10489679209320177,台新,0.10963448937893139,財力,0.1273458833682264,元大鑽金
15,0.10504055172662705,調額,0.10829631824290568,消費,0.11314821388047189,通知,0.12416879914784985,玉山,0.10373127218105509,照會,0.10699269445413785,銀行,0.11866320950221095,調額
16,0.10504055172662705,財力,0.10430995070022203,花旗,0.10838407855918886,花旗,0.12251321515921186,照會,0.10023471244461502,花旗,0.10236955333574918,聯名,0.1157689848802058,財力
17,0.10263504290846001,真的,0.10165237233843294,提供,0.10481097706822659,簡訊,0.11754646319329787,數位,0.08857951332314816,電話,0.10104865587335242,照會,0.10853342332519293,照會
18,0.09702218899940361,現金回饋,0.09633721561485474,照會,0.10123787557726432,財力,0.10595737527283187,花旗,0.0850829535867081,提供,0.09774641221736051,查詢,0.10419208639218522,查詢
19,0.0898056625449025,銀行,0.09567282102440747,銀行,0.10123787557726432,活動,0.10595737527283187,銀行,0.08391743367456142,icash,0.09114192490537669,電話,0.10274497408118265,回饋
20,0.08178729981767907,申辦,0.09367963725306565,聯名,0.0964737402559813,照會,0.10264620729555589,通知,0.08391743367456142,辦卡,0.09048147617417832,通知,0.09695652483717236,提供
21,0.08018362727223438,玉山,0.09102205889127656,電話,0.0964737402559813,申辦,0.09602387134100389,電話,0.08042087393812135,申辦,0.08850012998058317,御璽,0.0940623002151672,匯豐
22,0.07857995472678969,聯名,0.08238492921546199,國泰,0.09290063876501903,提供,0.0910571193750899,申辦,0.07808983411382799,查詢,0.08585833505578964,聯徵,0.08972096328215949,中信
23,0.07376893709045564,提供,0.08105614003456744,調額,0.09170960493469826,電話,0.0894015353864519,聯徵,0.07808983411382799,通知,0.08255609139979773,提供,0.08827385097115692,現金回饋
24,0.07296710081773329,電話,0.08105614003456744,玉山,0.09051857110437751,航空,0.0794680314546239,調額,0.07575879428953461,持有,0.07793295028140906,富邦,0.0839325140381492,花旗
25,0.06815608318139922,刷卡,0.08105614003456744,app,0.08932753727405675,查詢,0.07450127948870991,資料,0.06993119472880117,分行,0.07661205281901229,回饋,0.08248540172714663,消費
26,0.06494873809050986,查詢,0.07640537790143652,御璽,0.088136503443736,聯徵,0.06953452752279592,xd,0.06643463499236112,家樂福,0.06868666804463171,消費,0.07959117710514149,icash
27,0.06414690181778751,饗樂,0.07109022117785833,申辦,0.08694546961341523,combo,0.06953452752279592,回饋,0.06293807525592106,富邦,0.06736577058223495,申辦,0.07669695248313634,持有
28,0.06414690181778751,線上,0.07109022117785833,富邦,0.08456340195277373,app,0.06787894353415792,持有,0.06293807525592106,悠遊,0.06736577058223495,持有,0.07524984017213376,華南
29,0.06334506554506517,辦卡,0.06843264281606923,真的,0.08337236812245297,玉山,0.06787894353415792,世界,0.06060703543162769,華南,0.06736577058223495,優惠,0.07380272786113119,真的
30,0.06254322927234282,照會,0.06444627527338559,辦卡,0.08218133429213222,無限卡,0.06787894353415792,提供,0.06060703543162769,回饋,0.06340307819504466,辦卡,0.07380272786113119,玉山
31,0.061741392999620476,持有,0.06378188068293832,活動,0.08099030046181145,帳戶,0.06787894353415792,網路,0.059441515519481,顯示,0.062082180732647894,現金回饋,0.07235561555012862,聯名
32,0.06093955672689813,自然人,0.06311748609249104,三個,0.0797992666314907,審核,0.06456777555688192,真的,0.059441515519481,真的,0.061421732001449514,刷卡,0.07235561555012862,刷卡
33,0.060137720454175786,三個,0.06245309150204376,帳戶,0.0797992666314907,真的,0.06291219156824393,悠遊,0.05827599560733431,聯徵,0.060761283270251126,詢問,0.07235561555012862,日本
34,0.060137720454175786,御璽,0.06112430232114922,xd,0.07860823280116994,調額,0.06125660757960593,線上,0.05711047569518763,調額,0.060100834539052746,國泰,0.07090850323912605,審核
35,0.0585340479087311,國泰,0.06112430232114922,聯徵,0.07622616514052843,優惠,0.05960102359096793,辦卡,0.05594495578304094,御璽,0.058779937076655984,資料,0.07090850323912605,鑽金
36,0.05773221163600876,linepay,0.060459907730701944,icash,0.07503513131020767,御璽,0.05960102359096793,刷卡,0.05594495578304094,一個,0.058779937076655984,真的,0.06801427861712091,富邦
37,0.05612853909056407,悠遊卡,0.05979551314025467,持有,0.07384409747988692,世界,0.05960102359096793,linepay,0.05594495578304094,過程,0.058119488345457604,線上,0.06656716630611834,xd
38,0.052921193999674696,登錄,0.0591311185498074,linepay,0.07265306364956615,刷卡,0.05960102359096793,下午,0.05361391595874757,linepay,0.056138142151862455,xd,0.06656716630611834,線上
39,0.052921193999674696,資料,0.0591311185498074,資料,0.06907996215860389,華南,0.05628985561369194,現金回饋,0.05361391595874757,線上,0.056138142151862455,三個,0.0636729416841132,三個
40,0.05211935772695235,成功,0.058466723959360124,線上,0.06550686066764162,這張,0.05628985561369194,無限卡,0.05361391595874757,消費,0.054817244689465694,生活,0.062225829373110615,申辦
41,0.04811017636334063,華南,0.057802329368912844,刷卡,0.06550686066764162,icash,0.05628985561369194,顯示,0.051282876134454196,現金回饋,0.053496347227068926,icash,0.062225829373110615,出國
42,0.04811017636334063,一個,0.0564735401880183,數位,0.06550686066764162,國泰世華,0.05628985561369194,國泰,0.05011735622230751,xd,0.052835898495870545,gogo,0.060778717062108044,資料
43,0.04730834009061829,詢問,0.05514475100712375,網路,0.06312479300700011,costco,0.05530995031026125,wali,0.05011735622230751,打槍,0.05019410357107702,jcb,0.060778717062108044,這張
44,0.04650650381789594,憑證,0.053151567235781925,黑狗,0.06193375917667935,機票,0.05463427162505394,這張,0.05011735622230751,這張,0.05019410357107702,世界,0.05933160475110547,一卡通
