,花旗,台新,國泰,富邦,玉山,中信
2017-11-15,383,702,161,72,112,778
2017-11-16,425,687,97,83,142,779
2017-11-17,428,758,129,110,162,715
2017-11-18,470,730,129,102,172,701
2017-11-19,451,666,130,77,191,665
2017-11-20,395,689,153,97,180,571
2017-11-21,383,720,183,108,161,456
2017-11-22,428,781,196,108,185,496
2017-11-23,435,678,349,106,154,457
2017-11-24,433,546,363,106,154,465
2017-11-25,267,524,418,77,154,406
2017-11-26,241,523,418,66,140,402
2017-11-27,250,444,352,50,108,344
2017-11-28,339,434,373,50,92,432
2017-11-29,402,450,373,50,68,410
2017-11-30,416,371,348,30,86,433
2017-12-01,454,351,352,19,135,442
2017-12-02,395,401,359,25,118,398
2017-12-03,381,420,168,23,116,385
2017-12-04,380,381,207,23,127,358
2017-12-05,495,354,148,17,127,353
2017-12-06,467,349,165,32,121,371
2017-12-07,422,352,251,21,126,374
2017-12-08,292,349,227,21,187,209
2017-12-09,225,287,233,21,172,202
2017-12-10,218,299,251,34,154,167
2017-12-11,169,281,235,105,138,196
2017-12-12,179,220,242,99,149,210
2017-12-13,215,205,255,99,190,266
2017-12-14,207,186,263,136,258,255
2017-12-15,110,227,292,145,261,262
2017-12-16,163,221,305,130,273,233
2017-12-17,160,216,219,130,268,230
2017-12-18,147,216,228,130,234,267
2017-12-19,184,224,261,130,223,272
