,中信,台新,國泰,富邦,玉山,花旗
A,2899,2784,1204,565,1542,1855
B,3510,5582,2375,678,2082,3742
C,2742,3475,1168,545,1533,2205
AB,1683,1399,776,320,753,1231
AC,1400,1226,645,324,864,919
BC,1555,2494,802,294,988,1642
ABC,937,667,483,241,465,622
