,花旗,台新,國泰,富邦,玉山,中信
2017-11-15,31,39,17,4,6,42
2017-11-16,34,40,12,6,8,45
2017-11-17,36,45,16,7,11,44
2017-11-18,36,42,16,6,11,45
2017-11-19,35,43,14,5,11,42
2017-11-20,29,41,15,6,10,38
2017-11-21,27,43,17,7,9,37
2017-11-22,28,48,18,7,13,38
2017-11-23,28,46,19,7,13,37
2017-11-24,29,47,21,7,13,37
2017-11-25,24,41,23,7,13,35
2017-11-26,20,38,23,5,12,32
2017-11-27,18,31,17,5,8,25
2017-11-28,18,30,17,5,7,29
2017-11-29,21,31,18,5,11,29
2017-11-30,23,28,16,4,12,29
2017-12-01,25,27,16,3,15,29
2017-12-02,22,26,18,4,12,28
2017-12-03,21,27,14,3,11,27
2017-12-04,20,26,15,3,13,29
2017-12-05,22,27,12,2,13,27
2017-12-06,21,27,16,4,13,26
2017-12-07,18,29,22,3,15,27
2017-12-08,18,29,21,3,18,19
2017-12-09,14,25,23,3,14,20
2017-12-10,15,25,24,4,13,19
2017-12-11,13,23,24,7,12,20
2017-12-12,15,24,25,6,14,21
2017-12-13,20,23,28,6,16,25
2017-12-14,20,22,30,8,21,23
2017-12-15,20,22,33,9,22,24
2017-12-16,22,21,31,7,22,25
2017-12-17,21,19,25,7,20,24
2017-12-18,19,19,27,7,18,27
2017-12-19,20,21,28,7,17,25
