,花旗,index,台新,index,國泰,index,富邦,index,玉山,index,中信,index,元大,index
0,0.5371245231658311,花旗,0.48171962314625544,台新,0.29783879438420086,國泰,0.39771209537334407,富邦,0.5595971125745344,玉山,0.4820210425873809,中信,0.3439714370938065,申請
1,0.2520532394423208,申請,0.2760043677308568,申請,0.2884474810477621,申請,0.3321551565755401,申請,0.27636965241119776,申請,0.2875799137838493,申請,0.27792205889873645,收到
2,0.22275553817872998,額度,0.23993979701402485,收到,0.2146585905471718,聯名,0.24146805790524462,額度,0.22630765582058376,額度,0.2515860407038062,額度,0.27363313823671886,額度
3,0.19206270828353963,收到,0.21197135441729803,額度,0.21130455006987223,卡片,0.21306005109286288,核卡,0.1755598784547559,銀行,0.2200450179017066,收到,0.20415262351203478,核卡
4,0.18694723663434124,回饋,0.17480276622954266,核卡,0.182459801965096,收到,0.19557820074678184,卡片,0.17007363225304478,核卡,0.2022336167899327,linepay,0.1955747821879997,卡片
5,0.18601715087994153,客服,0.16339458569666723,卡片,0.182459801965096,台新,0.1901151225136315,信用卡,0.168702070702617,卡片,0.19295684537755048,核卡,0.18699694086396462,元大
6,0.18601715087994153,卡片,0.15934652163661467,信用卡,0.18111818577417618,消費,0.181374197340591,收到,0.1680162899274031,收到,0.17254794827030956,卡片,0.170699042348298,元大鑽金
7,0.16416013565154838,核卡,0.15566646340020324,gogo,0.1804473776787163,額度,0.15187357488157918,生活,0.15087177054705586,世界,0.15659190144101212,信用卡,0.1698412582158945,客服
8,0.13765269165115673,信用卡,0.15566646340020324,客服,0.175080912915037,信用卡,0.14750311229505894,數位,0.1488144282214142,財力,0.15510761801503095,台新,0.16641012168628044,簡訊
9,0.13439739151075775,活動,0.1552984575765621,簡訊,0.15696909433761938,回饋,0.1420400340619086,中信,0.14264240124448915,客服,0.14508870488965814,客服,0.1492544390382103,信用卡
10,0.12137619094916184,中信,0.14793834110373924,回饋,0.15696909433761938,koko,0.1420400340619086,台新,0.1330414703914947,聯名,0.12801944549087482,簡訊,0.1483966549058068,通知
11,0.11765584793156302,財力,0.1457303061618924,中信,0.15495667005123964,核卡,0.1289286463023478,花旗,0.1330414703914947,信用卡,0.1257930203519031,財力,0.14582330250859626,台新
12,0.11719080505436316,現金回饋,0.12622599750891186,財力,0.1415405081420414,中信,0.1256507993624576,客服,0.12344053953850025,中信,0.12356659521293137,花旗,0.14496551837619276,jcb
13,0.10463464736996711,消費,0.12180992762521814,聯名,0.14086970004658148,銀行,0.12346556806919748,財力,0.11109648558465021,台新,0.11057911523559623,調額,0.13381432465494716,樂天
14,0.10230943298396784,簡訊,0.11592183444695986,richart,0.13617404337836211,客服,0.1223729524225674,照會,0.10698180093336687,簡訊,0.10983697352260566,照會,0.13209875639014015,財力
15,0.09672891845756959,通知,0.11518582279967758,通知,0.12611192194646342,活動,0.12128033677593734,查詢,0.10080977395644186,花旗,0.1050130523881669,聯名,0.11751642613928052,照會
16,0.09533378982597003,申辦,0.11408180532875414,提供,0.11537899241910483,icash,0.12018772112930727,銀行,0.09532352775473074,icash,0.10204448553620458,玉山,0.11665864200687702,電話
17,0.09533378982597003,台新,0.10708969467957244,銀行,0.1133665681327251,財力,0.11800248983604715,玉山,0.09395196620430296,提供,0.09907591868424226,通知,0.11151193721245597,中信
18,0.0906833610539715,調額,0.10488165973772559,消費,0.1073292952735859,combo,0.11581725854278702,聯名,0.09258040465387518,申辦,0.0979627061147564,銀行,0.10893858481524545,現金回饋
19,0.09021831817677164,提供,0.09936157238310846,照會,0.10464606289174624,通知,0.11363202724952688,簡訊,0.08915150077780573,照會,0.09684949354527053,提供,0.10893858481524545,提供
20,0.08696301803637266,電話,0.09568151414669702,花旗,0.1026336386053665,花旗,0.10161325513659615,電話,0.08709415845216406,持有,0.09128343069784119,申辦,0.10550744828563142,回饋
21,0.0864979751591728,銀行,0.08942541514479761,御璽,0.09927959812806696,app,0.10052063948996609,通知,0.08229369302566683,辦卡,0.08942807641536474,御璽,0.1037918800208244,查詢
22,0.08417276077317354,真的,0.08868940349751532,app,0.09860879003260704,航空,0.09724279255007588,申辦,0.07817900837438349,調額,0.08905700555886945,電話,0.1029340958884209,調額
23,0.08370771789597369,辦卡,0.08648136855566847,電話,0.09793798193714713,玉山,0.08413140479051509,聯徵,0.07543588527352793,家樂福,0.08274880099844953,持有,0.09692960696159635,icash
24,0.0785922462467753,持有,0.08574535690838618,活動,0.0965963657462273,提供,0.0808535578506249,資料,0.07200698139745847,通知,0.08237773014195424,回饋,0.09607182282919284,持有
25,0.07766216049237559,饗樂,0.08427333361382161,國泰,0.09391313336438765,申辦,0.07866832655736476,持有,0.06789229674617513,電話,0.07792487986401077,查詢,0.0909251180347718,聯名
26,0.0744068603519766,照會,0.08243330449561591,申辦,0.09257151717346783,刷卡,0.0775757109107347,jcb,0.06720651597096124,回饋,0.07458524215555316,富邦,0.08492062910794725,匯豐
27,0.07208164596597734,資料,0.08022526955376905,玉山,0.091229900982548,簡訊,0.0775757109107347,回饋,0.06652073519574735,悠遊,0.0734720295860673,消費,0.08148949257833321,花旗
28,0.06929138870277822,玉山,0.07580919967007534,持有,0.08452182002794889,調額,0.07648309526410463,提供,0.06583495442053346,聯徵,0.07272988787307672,聯徵,0.0806317084459297,鑽金
29,0.06929138870277822,聯名,0.0728651530809462,icash,0.08250939574156915,照會,0.07648309526410463,調額,0.06514917364531957,查詢,0.07161667530359085,辦卡,0.0797739243135262,申辦
