,花旗,台新,國泰,富邦,玉山,中信
2017-11-15,287,498,114,58,94,636
2017-11-16,316,504,78,63,120,639
2017-11-17,315,569,97,81,132,584
2017-11-18,343,554,96,73,132,546
2017-11-19,331,460,96,55,144,493
2017-11-20,301,481,115,71,133,422
2017-11-21,280,507,135,80,117,338
2017-11-22,321,556,148,80,128,366
2017-11-23,333,464,308,77,103,337
2017-11-24,329,371,317,77,103,347
2017-11-25,180,394,366,53,103,287
2017-11-26,168,397,366,48,94,289
2017-11-27,173,331,317,39,71,251
2017-11-28,231,319,338,39,67,334
2017-11-29,251,341,335,39,43,327
2017-11-30,257,274,315,23,57,341
2017-12-01,298,265,323,14,105,344
2017-12-02,253,329,328,19,98,312
2017-12-03,236,343,139,18,96,303
2017-12-04,239,326,170,18,103,281
2017-12-05,334,289,118,14,103,278
2017-12-06,304,285,132,23,96,290
2017-12-07,279,285,203,14,99,291
2017-12-08,196,282,181,14,152,167
2017-12-09,174,244,190,14,150,162
2017-12-10,174,259,206,26,136,133
2017-12-11,137,242,188,82,108,153
2017-12-12,145,153,188,77,120,153
2017-12-13,174,143,199,77,152,198
2017-12-14,168,125,204,101,197,168
2017-12-15,86,182,225,110,199,172
2017-12-16,116,177,239,101,208,177
2017-12-17,113,172,168,101,205,176
2017-12-18,102,174,173,101,174,203
2017-12-19,134,178,187,101,163,210
