國泰KOKO,125
兆豐E秒刷,75
台新GOGO,291
匯豐現金,73
元大鑽金,139
富邦數位生活,36
中信line PAY,177
樂天,158
花旗現金回饋,50
花旗響樂,55
國泰COSTCO,38
中信ANA,44
花旗寰旅,52
國泰亞洲萬里通,14
中信大中華,19
國泰長榮,26
美國運通,47
台新國泰,23
