,花旗,台新,國泰,富邦,玉山,中信
2017-10-02,11.0,8.0,40.0,4.0,42.0,8.0
2017-10-03,3.0,103.0,13.0,,17.0,3.0
2017-10-04,76.0,,5.0,,,9.0
2017-10-05,33.0,6.0,12.0,,,69.0
2017-10-06,12.0,12.0,22.0,,6.0,2.0
2017-10-07,,9.0,,,,11.0
2017-10-08,10.0,8.0,,,,
2017-10-09,,,,,,20.0
2017-10-10,4.0,39.0,,12.0,12.0,1.0
2017-10-11,2.0,,118.0,,,26.0
2017-10-12,25.0,54.0,27.0,,,
2017-10-13,19.0,42.0,8.0,,,7.0
2017-10-14,7.0,46.0,3.0,2.0,,12.0
2017-10-15,7.0,19.0,,,25.0,15.0
2017-10-16,31.0,18.0,,,,8.0
2017-10-17,5.0,13.0,,,10.0,11.0
2017-10-18,,9.0,16.0,3.0,,27.0
2017-10-19,6.0,24.0,,,,39.0
2017-10-20,10.0,10.0,,,2.0,69.0
2017-10-21,34.0,25.0,5.0,,4.0,12.0
2017-10-22,27.0,2.0,,,,4.0
2017-10-23,11.0,61.0,34.0,,,9.0
2017-10-24,1.0,71.0,55.0,,19.0,11.0
2017-10-25,17.0,72.0,,,,27.0
2017-10-26,7.0,149.0,54.0,3.0,,70.0
2017-10-27,30.0,,56.0,6.0,0.0,0.0
2017-10-28,9.0,5.0,39.0,,11.0,20.0
2017-10-29,12.0,3.0,,12.0,3.0,18.0
2017-10-30,5.0,116.0,50.0,14.0,,2.0
2017-10-31,,,,,,
2017-11-01,,,,,,
2017-11-02,,,,,,
2017-11-03,64.0,31.0,60.0,5.0,6.0,124.0
2017-11-04,8.0,29.0,28.0,6.0,46.0,54.0
2017-11-05,6.0,,4.0,,16.0,17.0
2017-11-06,24.0,3.0,36.0,,,28.0
2017-11-07,24.0,24.0,30.0,,11.0,93.0
2017-11-08,8.0,31.0,2.0,8.0,4.0,79.0
2017-11-09,14.0,126.0,11.0,18.0,25.0,90.0
2017-11-10,30.0,47.0,1.0,,11.0,91.0
2017-11-11,21.0,9.0,2.0,,16.0,97.0
2017-11-12,4.0,,,,,9.0
2017-11-13,5.0,93.0,29.0,4.0,27.0,38.0
2017-11-14,8.0,140.0,,,,48.0
2017-11-15,149.0,25.0,3.0,28.0,,63.0
2017-11-16,53.0,9.0,,5.0,26.0,31.0
2017-11-17,23.0,89.0,49.0,18.0,23.0,38.0
2017-11-18,36.0,16.0,1.0,,4.0,41.0
2017-11-19,2.0,32.0,11.0,,37.0,37.0
2017-11-20,,68.0,20.0,16.0,,20.0
2017-11-21,0.0,35.0,22.0,9.0,,13.0
2017-11-22,45.0,49.0,13.0,,11.0,37.0
2017-11-23,17.0,1.0,189.0,1.0,2.0,9.0
2017-11-24,4.0,47.0,9.0,,,58.0
2017-11-25,,48.0,52.0,4.0,,3.0
2017-11-26,41.0,12.0,,,17.0,33.0
2017-11-27,28.0,23.0,,9.0,,
2017-11-28,94.0,4.0,22.0,,,124.0
2017-11-29,22.0,54.0,8.0,,13.0,30.0
2017-11-30,6.0,1.0,,,14.0,34.0
2017-12-01,41.0,26.0,30.0,,48.0,16.0
2017-12-02,,113.0,18.0,5.0,4.0,5.0
2017-12-03,,15.0,,,,
2017-12-04,7.0,30.0,40.0,,7.0,36.0
