,花旗,台新,國泰,富邦,玉山,中信
2017-10-02,17.0,9.0,58.0,3.0,45.0,8.0
2017-10-03,6.0,255.0,23.0,,18.0,3.0
2017-10-04,90.0,,9.0,,,9.0
2017-10-05,31.0,16.0,30.0,,,92.0
2017-10-06,13.0,17.0,21.0,,9.0,2.0
2017-10-07,,11.0,,,,24.0
2017-10-08,12.0,11.0,,,,
2017-10-09,,,,,,27.0
2017-10-10,4.0,35.0,,15.0,15.0,6.0
2017-10-11,2.0,,106.0,,,21.0
2017-10-12,41.0,75.0,45.0,,,
2017-10-13,28.0,50.0,10.0,,,13.0
2017-10-14,13.0,63.0,4.0,2.0,,16.0
2017-10-15,10.0,26.0,,,49.0,25.0
2017-10-16,44.0,22.0,,,,41.0
2017-10-17,11.0,20.0,,,10.0,45.0
2017-10-18,,10.0,16.0,6.0,,36.0
2017-10-19,14.0,38.0,,,,50.0
2017-10-20,18.0,23.0,,,2.0,75.0
2017-10-21,41.0,40.0,9.0,,7.0,17.0
2017-10-22,31.0,4.0,,,,8.0
2017-10-23,13.0,72.0,46.0,,,15.0
2017-10-24,2.0,82.0,67.0,,21.0,19.0
2017-10-25,26.0,87.0,,,,31.0
2017-10-26,10.0,179.0,62.0,4.0,,109.0
2017-10-27,46.0,,61.0,10.0,40.0,0.0
2017-10-28,13.0,5.0,59.0,,7.0,26.0
2017-10-29,15.0,4.0,,17.0,9.0,24.0
2017-10-30,8.0,95.0,54.0,23.0,,3.0
2017-10-31,,,,,,
2017-11-01,,,,,,
2017-11-02,,,,,,
2017-11-03,79.0,39.0,78.0,7.0,8.0,143.0
2017-11-04,10.0,39.0,38.0,8.0,58.0,57.0
2017-11-05,10.0,,6.0,,20.0,29.0
2017-11-06,27.0,30.0,64.0,,,41.0
2017-11-07,36.0,37.0,34.0,,12.0,122.0
2017-11-08,12.0,45.0,3.0,8.0,6.0,91.0
2017-11-09,23.0,127.0,13.0,25.0,31.0,95.0
2017-11-10,56.0,62.0,2.0,,11.0,112.0
2017-11-11,29.0,17.0,3.0,,19.0,131.0
2017-11-12,14.0,,,,,10.0
2017-11-13,7.0,105.0,38.0,4.0,33.0,52.0
2017-11-14,13.0,204.0,,,,60.0
2017-11-15,166.0,75.0,4.0,35.0,,64.0
2017-11-16,69.0,15.0,,11.0,30.0,42.0
2017-11-17,39.0,108.0,66.0,27.0,32.0,58.0
2017-11-18,54.0,17.0,3.0,,16.0,77.0
2017-11-19,4.0,63.0,14.0,,50.0,59.0
2017-11-20,,85.0,25.0,20.0,,18.0
2017-11-21,17.0,48.0,33.0,11.0,,16.0
2017-11-22,59.0,61.0,13.0,,24.0,50.0
2017-11-23,14.0,2.0,191.0,2.0,2.0,13.0
2017-11-24,11.0,72.0,14.0,,,68.0
2017-11-25,,53.0,59.0,6.0,,5.0
2017-11-26,43.0,14.0,,,16.0,38.0
2017-11-27,48.0,29.0,,11.0,,
2017-11-28,143.0,7.0,24.0,,,165.0
2017-11-29,67.0,79.0,14.0,,26.0,37.0
2017-11-30,14.0,6.0,,,18.0,41.0
2017-12-01,55.0,28.0,37.0,,49.0,25.0
2017-12-02,,111.0,20.0,6.0,7.0,6.0
2017-12-03,,21.0,,,,
2017-12-04,10.0,33.0,53.0,,11.0,41.0
2017-12-05,115.0,26.0,,,,
2017-12-06,15.0,9.0,17.0,15.0,10.0,56.0
2017-12-07,3.0,32.0,86.0,,5.0,3.0
2017-12-08,13.0,4.0,,,61.0,
2017-12-09,,17.0,20.0,,11.0,30.0
2017-12-10,7.0,18.0,18.0,13.0,,6.0
2017-12-11,6.0,10.0,21.0,71.0,33.0,54.0
2017-12-12,10.0,50.0,27.0,,18.0,20.0
2017-12-13,36.0,6.0,13.0,,41.0,56.0
2017-12-14,2.0,14.0,61.0,37.0,79.0,30.0
2017-12-15,18.0,67.0,29.0,9.0,3.0,7.0
2017-12-16,68.0,3.0,30.0,,22.0,27.0
2017-12-17,,27.0,,,,
2017-12-18,,4.0,9.0,,27.0,37.0
2017-12-19,37.0,25.0,53.0,,,35.0
2017-12-20,6.0,143.0,34.0,14.0,22.0,87.0
2017-12-21,14.0,,15.0,,9.0,42.0
2017-12-22,,45.0,15.0,,,42.0
2017-12-23,18.0,39.0,,12.0,4.0,35.0
2017-12-24,25.0,67.0,25.0,,,70.0
2017-12-25,24.0,11.0,,,,125.0
2017-12-26,46.0,0.0,17.0,,4.0,50.0
2017-12-27,22.0,11.0,62.0,,27.0,133.0
2017-12-28,8.0,29.0,31.0,11.0,27.0,58.0
2017-12-29,,19.0,22.0,,80.0,24.0
