,花旗,台新,國泰,富邦,玉山,中信
2017-11-15,5,8,1,1,0,4
2017-11-16,7,5,0,2,2,6
2017-11-17,6,9,6,1,4,7
2017-11-18,2,2,1,0,1,4
2017-11-19,1,4,1,0,1,4
2017-11-20,0,4,2,1,0,2
2017-11-21,1,4,3,1,0,4
2017-11-22,3,5,1,0,4,2
2017-11-23,1,1,4,1,1,1
2017-11-24,3,5,2,0,0,3
2017-11-25,0,2,3,1,0,2
2017-11-26,3,2,0,0,1,3
2017-11-27,4,2,0,1,0,0
2017-11-28,2,1,1,0,0,8
2017-11-29,4,5,2,0,5,4
2017-11-30,2,1,0,0,1,2
2017-12-01,3,3,3,0,3,4
2017-12-02,0,4,3,1,1,1
2017-12-03,0,2,0,0,0,0
2017-12-04,2,4,3,0,2,5
2017-12-05,2,3,0,0,0,0
2017-12-06,2,2,4,2,1,2
2017-12-07,1,4,6,0,2,1
2017-12-08,2,1,0,0,3,0
2017-12-09,0,1,4,0,1,5
2017-12-10,3,1,1,1,0,1
2017-12-11,1,1,3,3,2,5
2017-12-12,2,5,4,0,3,2
2017-12-13,5,1,3,0,2,4
2017-12-14,2,3,5,2,7,3
2017-12-15,2,3,3,1,1,1
2017-12-16,4,1,2,0,1,3
2017-12-17,0,2,0,0,0,0
2017-12-18,0,1,2,0,1,3
2017-12-19,1,3,5,0,0,3
2017-12-20,1,5,4,2,1,5
2017-12-21,2,0,2,0,1,4
2017-12-22,0,2,2,0,0,2
2017-12-23,1,3,0,1,1,2
2017-12-24,2,3,3,0,0,1
2017-12-25,3,1,0,0,0,3
2017-12-26,2,1,3,0,1,3
2017-12-27,4,2,4,0,3,9
2017-12-28,2,5,5,1,4,6
2017-12-29,0,1,4,0,3,4
