,花旗,index,台新,index,國泰,index,富邦,index,玉山,index,中信,index,元大,index
0,0.5146224257982942,花旗,0.472831083101282,台新,0.2940126358356413,國泰,0.3455855366062935,富邦,0.5482939076847392,玉山,0.44161825551771344,中信,0.3538345602281519,申請
1,0.24186065508072255,申請,0.23995225275910861,申請,0.2574734932317899,申請,0.33170040343907636,申請,0.257772087620571,申請,0.29330118102308517,申請,0.27719169519678327,額度
2,0.23888939396179476,回饋,0.21873198550830308,回饋,0.23792930067624152,聯名,0.2422184341392325,核卡,0.20811926746414955,額度,0.24164017754742811,額度,0.2286512140102498,收到
3,0.22165607947201355,額度,0.20458514067443273,收到,0.20818813809171133,消費,0.2144481678047982,額度,0.1743130920385009,銀行,0.20719950856365676,linepay,0.1992714490815585,元大
4,0.18540669382109443,客服,0.19261473350731168,額度,0.1988409155651447,回饋,0.18822069404449915,信用卡,0.17325664905644936,核卡,0.20497752991954246,核卡,0.1967166869138462,核卡
5,0.18243543270216664,卡片,0.1675857003396949,核卡,0.19629167305789924,卡片,0.18822069404449915,卡片,0.17008732011029482,卡片,0.1949786260210282,收到,0.1852202571591409,卡片
6,0.17352164934538325,收到,0.1605122779227597,中信,0.18609470302891748,台新,0.17279276830314674,收到,0.15741000432567656,客服,0.16998136627474253,卡片,0.16222739764973032,現金回饋
7,0.1717388926740266,活動,0.15343885550582456,卡片,0.16485101546853875,收到,0.1511936722652534,花旗,0.15212778941541896,聯名,0.16831488229165684,台新,0.15711787331430574,回饋
8,0.1640136137648143,核卡,0.1523506366724499,信用卡,0.1597525304540479,活動,0.14502250196871244,照會,0.1489584604692644,收到,0.16664839830857112,信用卡,0.15200834897888116,簡訊
9,0.1497515603939609,現金回饋,0.147453651922264,gogo,0.15720328794680244,koko,0.1388513316721715,數位,0.14156335959490374,世界,0.13942915991817117,客服,0.15073096789502502,元大鑽金
10,0.12895273256146633,信用卡,0.14636543308888939,聯名,0.1563535404443873,核卡,0.1388513316721715,中信,0.12994248679233703,信用卡,0.13831817059611404,花旗,0.13412501380489514,jcb
11,0.12538721921875298,中信,0.14364488600545278,客服,0.15380429793714184,信用卡,0.13576574652390103,生活,0.1236038289000279,台新,0.12331981474834262,回饋,0.13412501380489514,通知
12,0.1247929669949674,消費,0.13330680708839368,簡訊,0.15210480293231154,額度,0.13422295394976577,台新,0.1183216139897703,財力,0.11609838415497122,簡訊,0.1302928705533267,信用卡
13,0.10280563471490173,財力,0.13221858825501903,消費,0.14190783290332976,銀行,0.13268016137563055,聯名,0.11198295609746117,花旗,0.11554288949394263,調額,0.1302928705533267,樂天
14,0.09864586914840281,台新,0.12677749408814581,活動,0.1283118728646874,中信,0.13268016137563055,查詢,0.10670074118720357,簡訊,0.11554288949394263,財力,0.12773810838561442,客服
15,0.08913783356783386,電話,0.1240569470047092,銀行,0.1232133878501965,icash,0.12959457622736006,銀行,0.10353141224104902,回饋,0.11387640551085693,聯名,0.12518334621790211,財力
16,0.08913783356783386,簡訊,0.10882188333746422,花旗,0.11641540783087531,航空,0.11725223563427815,玉山,0.10247496925899749,icash,0.10998794288365693,銀行,0.12518334621790211,調額
17,0.08557232022512051,通知,0.10773366450408958,richart,0.11131692281638442,客服,0.11262385791187243,財力,0.09930564031284293,現金回饋,0.10943244822262836,照會,0.12007382188247755,匯豐
18,0.08497806800133495,申辦,0.10501311742065297,國泰,0.11046717531396927,花旗,0.10953827276360197,回饋,0.0982491973307914,中信,0.10054453364617123,御璽,0.11879644079862141,icash
19,0.08260105910619271,調額,0.10283667975390369,財力,0.10876768030913898,combo,0.10799548018946672,電話,0.08768476751027621,悠遊,0.09721156567999982,玉山,0.11879644079862141,台新
20,0.07962979798726492,真的,0.10174846092052904,御璽,0.10281944779223294,優惠,0.10645268761533148,聯徵,0.08557188154617316,申辦,0.09498958703588553,現金回饋,0.11368691646319683,照會
21,0.07665853686833712,提供,0.09467503850359388,照會,0.10111995278740264,通知,0.10645268761533148,客服,0.08557188154617316,照會,0.09332310305279982,提供,0.1098547732116284,聯名
22,0.07547003242076601,銀行,0.08977805375340799,提供,0.0985707102801572,刷卡,0.10490989504119624,簡訊,0.08028966663591557,調額,0.09054562974765697,電話,0.1098547732116284,電話
23,0.07547003242076601,照會,0.08868983492003334,現金回饋,0.0968712152753269,app,0.10490989504119624,現金回饋,0.07923322365386404,辦卡,0.08721266178148555,消費,0.10857739212777225,中信
24,0.07487578019698045,聯名,0.08868983492003334,玉山,0.09262247776325117,玉山,0.09719593217052006,申辦,0.07395100874360644,通知,0.08721266178148555,優惠,0.10602262996005997,查詢
25,0.07487578019698045,辦卡,0.08705750666997138,通知,0.09092298275842087,提供,0.09719593217052006,通知,0.07395100874360644,jcb,0.08276870449325699,查詢,0.10091310562463539,提供
26,0.07249877130183821,持有,0.08324874075316013,刷卡,0.08922348775359057,申辦,0.08485359157743813,jcb,0.07289456576155491,家樂福,0.08110222051017127,申辦,0.09069405695378624,鑽金
27,0.07071601463048154,御璽,0.08052819366972352,申辦,0.08922348775359057,財力,0.08176800642916766,悠遊,0.0718381227795034,活動,0.078880241866057,富邦,0.08941667586993009,花旗
28,0.06893325795912486,饗樂,0.07943997483634888,航空,0.08582449774392997,簡訊,0.08022521385503242,資料,0.0718381227795034,提供,0.07832474720502842,通知,0.0868619137022178,玉山
29,0.0683390057353393,自然人,0.07671942775291228,電話,0.08497475024151482,現金回饋,0.08022521385503242,xd,0.06866879383334884,御璽,0.07721375788297129,聯徵,0.08558453261836166,持有
